encoder,pretrained_on,dataset_length,parameter_count,inference_time,final_loss
efficientnet-b0,other-dataset,1284,4499197,6.925605120658875,0.08028814748481468
efficientnet-b0,same-dataset,2364,4499197,6.875934085845947,275.11177372288057
efficientnet-b1,other-dataset,1284,7004833,9.492611541748047,0.08070761517242149
efficientnet-b1,same-dataset,2364,7004833,9.606659841537475,272.14227923831425
efficientnet-b2,other-dataset,1284,8225411,9.4279270362854,0.08021948100240142
efficientnet-b2,same-dataset,2364,8225411,9.18702784538269,271.24808904286976
efficientnet-b3,other-dataset,1284,11253273,10.779437761306763,0.07994295067993211
efficientnet-b3,same-dataset,2364,11253273,10.753559055328369,271.4046809222247
efficientnet-b4,other-dataset,1284,18171049,13.184544935226441,0.07806578784445185
efficientnet-b4,same-dataset,2364,18171049,13.458869791030883,263.7584648132324
mit_b0,other-dataset,1284,3742945,6.4898559808731076,0.08673359610048341
mit_b0,same-dataset,2364,3742945,6.3228204584121706,2043.923277158995
mit_b1,other-dataset,1284,13833985,5.873465929031372,0.09221708627394688
mit_b1,same-dataset,2364,13833985,6.596188497543335,2001.6400583628063
mobilenet_v2,other-dataset,1284,3698561,4.036635534763336,0.08546154458581666
mobilenet_v2,same-dataset,2364,3698561,4.260477120876312,282.9757228542019
mobileone_s0,other-dataset,1284,5480433,15.778705587387085,0.08645974872288881
mobileone_s0,same-dataset,2364,5480433,14.96352292060852,282.93119832631703
mobileone_s1,other-dataset,1284,5018177,6.746877136230469,0.08242819821577013
mobileone_s1,same-dataset,2364,5018177,6.6369421005249025,273.20564280329523
mobileone_s2,other-dataset,1284,8096065,6.706402258872986,0.07986725682829633
mobileone_s2,same-dataset,2364,8096065,6.548680291175843,267.52076308791703
mobileone_s3,other-dataset,1284,10382017,6.744925131797791,0.0792578448208026
mobileone_s3,same-dataset,2364,10382017,6.503066878318787,264.0760157817119
mobileone_s4,other-dataset,1284,15162665,9.704570875167846,0.07447249175589761
mobileone_s4,same-dataset,2364,15162665,9.324738826751709,257.5251929824417
resnet18,other-dataset,1284,11859073,2.1519423961639403,0.07748920723427961
resnet18,same-dataset,2364,11859073,2.101789447069168,272.2349532874855
resnet34,other-dataset,1284,21967233,3.438748481273651,0.07662258131636514
resnet34,same-dataset,2364,21967233,3.4115379285812377,258.8199080389899
vgg11_bn,other-dataset,1284,9913665,2.121127998828888,0.08531499736838871
vgg11_bn,same-dataset,2364,9913665,2.086587212085724,282.5684064916662
vgg13_bn,other-dataset,1284,10098561,3.0944521546363832,0.0846741415652228
vgg13_bn,same-dataset,2364,10098561,3.090041286945343,284.8352825061695
vgg19_bn,other-dataset,1284,20723073,4.3967455911636355,0.08334324610086134
vgg19_bn,same-dataset,2364,20723073,4.386406059265137,275.28031086277315
