arch,encoder,normalization,pretrained,train_dataset_length,test_dataset_length,parameter_count,inference_time,last_val_loss,last_val_dice,last_val_iou,last_val_train_loss,best_val_loss,best_val_dice,best_val_iou,best_val_train_loss
unet,efficientnet-b0,zscore,scratch,252,1243,6250893,7.830019497871399,0.09491764128879492,0.9053298815161781,0.8418545412230856,0.023087635843290225,0.09491764128879492,0.9053298815161781,0.8418545412230856,0.023087635843290225
unet,efficientnet-b0,zscore,other-dataset,252,1243,6250893,7.632826862335205,0.06818325510690601,0.9291984423071937,0.8768319393105787,0.024520872042529167,0.05127235386919227,0.9503576013222876,0.9097982645993835,0.019498583165899155
unet,efficientnet-b0,zscore,same-dataset,252,1243,6250893,7.71969539642334,0.06763595565314362,0.9365460111168442,0.8913334641644577,0.019559148462518813,0.059721855678964986,0.941736540483642,0.8953793250258086,0.025253803010970827
unet,efficientnet-b1,zscore,scratch,252,1243,8756529,10.468249282836915,0.1645129926964245,0.828442520608081,0.7387424389968835,0.023688600945567326,0.1645129926964245,0.828442520608081,0.7387424389968835,0.023688600945567326
unet,efficientnet-b1,zscore,other-dataset,252,1243,8756529,10.401965417861938,0.06598101660597257,0.9366710360550823,0.8885311048450915,0.021214756759859267,0.0591105746340579,0.9424100624201093,0.8966418801059861,0.02564565677727972
unet,efficientnet-b1,zscore,same-dataset,252,1243,8756529,10.810188808441161,0.04953828518753175,0.9534465110023849,0.9161380674219477,0.02047952873602746,0.04877407841342453,0.9514170490918578,0.9100259326680092,0.037851891997787684
unet,efficientnet-b2,zscore,scratch,252,1243,10045715,12.244385919570924,0.08373280208818584,0.9110535623944774,0.8511389600396252,0.025378887585940816,0.08373280208818584,0.9110535623944774,0.8511389600396252,0.025378887585940816
unet,efficientnet-b2,zscore,other-dataset,252,1243,10045715,11.10372833251953,0.07807754665876912,0.9263131094861203,0.8761182445148643,0.019033150806549996,0.05519462705305864,0.9438284676782757,0.8998057426029122,0.023551846928303203
unet,efficientnet-b2,zscore,same-dataset,252,1243,10045715,12.327536354064941,0.0571647043357141,0.9474168679259616,0.9075594539135958,0.017117030031624295,0.045549933658500685,0.9582782931032434,0.9229680404294812,0.018407318090635633
unet,efficientnet-b3,zscore,scratch,252,1243,13158313,12.137425241470337,0.11169058049722536,0.8831013206119798,0.8075785145870832,0.02246999181807041,0.081612221818726,0.9203116746075386,0.8639703667748866,0.02233552093070651
unet,efficientnet-b3,zscore,other-dataset,252,1243,13158313,11.963728036880493,0.07131405394113745,0.9331717939982948,0.8861564569480939,0.017059158267719404,0.05294258040784351,0.9464073449684934,0.9056110857766383,0.023129162777747427
